instance,method,runs,avgObjective,minObjective,maxObjective,avgDistance,minDistance,maxDistance,avgPhase1Distance,minPhase1Distance,maxPhase1Distance,avgReward,minReward,maxReward,avgNodeCount,minNodeCount,maxNodeCount,avgTimeMs,minTimeMs,maxTimeMs
TSPA,LS_Greedy_Edge_Heuristic,100,6311.37,5343,7385,26542.03,24753,28119,26542.03,24753,28119,32853.40,31842,33729,164.24,155,172,357.46,4,92
TSPA,LS_Greedy_Edge_Random,100,3705.24,1307,5496,18788.59,16530,21069,18788.59,16530,21069,22493.83,21086,23951,100.00,100,100,574.55,4,119
TSPA,LS_Greedy_Vertex_Heuristic,100,6296.76,5343,7385,26573.10,24843,27840,26573.10,24843,27840,32869.86,31899,33691,164.20,155,171,121.86,4,92
TSPA,LS_Greedy_Vertex_Random,100,-7587.31,-13791,-2303,29824.88,24941,36740,29824.88,24941,36740,22237.57,20390,23943,100.00,100,100,284.06,4,92
TSPA,LS_Steepest_Edge_Heuristic,100,6352.37,5343,7318,26509.35,24669,28119,26509.35,24669,28119,32861.72,31756,33784,164.01,155,172,79.03,4,92
TSPA,LS_Steepest_Edge_Random,100,3472.60,568,4879,19474.55,17611,21883,19474.55,17611,21883,22947.15,21722,24525,100.00,100,100,506.82,4,119
TSPA,LS_Steepest_Vertex_Heuristic,100,6318.76,5468,7318,26528.25,24669,28119,26528.25,24669,28119,32847.01,31756,33784,163.91,155,172,127.12,4,92
TSPA,LS_Steepest_Vertex_Random,100,-9507.98,-19806,-1886,32744.20,25547,42232,32744.20,25547,42232,23236.22,21685,24866,100.00,100,100,406.81,4,119
TSPA,RandomWalk,100,-125966.21,-140838,-113304,143712.13,130408,159058,143712.13,130408,159058,17745.92,15974,19401,100.00,100,100,480.02,4,119
TSPB,LS_Greedy_Edge_Heuristic,100,18377.16,17476,19455,27147.36,25201,28872,27147.36,25201,28872,45524.52,44611,46567,172.48,165,178,413.02,4,119
TSPB,LS_Greedy_Edge_Random,100,12912.27,10085,14365,19157.04,16874,22175,19157.04,16874,22175,32069.31,29889,33690,100.00,100,100,194.95,4,92
TSPB,LS_Greedy_Vertex_Heuristic,100,18168.26,16863,19331,27350.71,25397,29056,27350.71,25397,29056,45518.97,44679,46492,172.46,164,178,368.23,4,92
TSPB,LS_Greedy_Vertex_Random,100,2316.76,-2717,7756,29660.60,24702,35312,29660.60,24702,35312,31977.36,29621,33383,100.00,100,100,74.23,4,92
TSPB,LS_Steepest_Edge_Heuristic,100,18449.09,17278,19410,26981.86,25201,28692,26981.86,25201,28692,45430.95,44611,46492,171.81,165,178,363.00,4,92
TSPB,LS_Steepest_Edge_Random,100,12902.78,11265,14169,19307.65,17747,21244,19307.65,17747,21244,32210.43,30270,33426,100.00,100,100,223.64,4,92
TSPB,LS_Steepest_Vertex_Heuristic,100,18170.30,16863,19560,27241.59,24974,28871,27241.59,24974,28871,45411.89,44534,46235,171.45,162,178,5.25,4,14
TSPB,LS_Steepest_Vertex_Random,100,-713.98,-7702,5415,33399.72,26834,40921,33399.72,26834,40921,32685.74,30750,33909,100.00,100,100,116.88,4,92
TSPB,RandomWalk,100,-117936.56,-124463,-108242,142258.42,131425,148856,142258.42,131425,148856,24321.86,21659,26365,100.00,100,100,352.06,4,92
