instance,method,bestRun,bestObjective,bestTotalDistance,bestPhase1Distance,bestTourFile,worstRun,worstObjective,worstTotalDistance,worstPhase1Distance,worstTourFile
TSPA,LS_Greedy_Edge_Heuristic,37,7385,25421,25421,outputs\runs\ls_greedy_edge_heuristic\TSPA\run_037.txt,26,5343,27323,27323,outputs\runs\ls_greedy_edge_heuristic\TSPA\run_026.txt
TSPA,LS_Greedy_Edge_Random,97,5496,17687,17687,outputs\runs\ls_greedy_edge_random\TSPA\run_097.txt,38,1307,20719,20719,outputs\runs\ls_greedy_edge_random\TSPA\run_038.txt
TSPA,LS_Greedy_Vertex_Heuristic,92,7385,25421,25421,outputs\runs\ls_greedy_vertex_heuristic\TSPA\run_092.txt,52,5343,27323,27323,outputs\runs\ls_greedy_vertex_heuristic\TSPA\run_052.txt
TSPA,LS_Greedy_Vertex_Random,10,-2303,25862,25862,outputs\runs\ls_greedy_vertex_random\TSPA\run_010.txt,100,-13791,36740,36740,outputs\runs\ls_greedy_vertex_random\TSPA\run_100.txt
TSPA,LS_Steepest_Edge_Heuristic,48,7318,25533,25533,outputs\runs\ls_steepest_edge_heuristic\TSPA\run_048.txt,20,5343,27323,27323,outputs\runs\ls_steepest_edge_heuristic\TSPA\run_020.txt
TSPA,LS_Steepest_Edge_Random,86,4879,18634,18634,outputs\runs\ls_steepest_edge_random\TSPA\run_086.txt,58,568,21883,21883,outputs\runs\ls_steepest_edge_random\TSPA\run_058.txt
TSPA,LS_Steepest_Vertex_Heuristic,33,7318,25533,25533,outputs\runs\ls_steepest_vertex_heuristic\TSPA\run_033.txt,39,5468,27164,27164,outputs\runs\ls_steepest_vertex_heuristic\TSPA\run_039.txt
TSPA,LS_Steepest_Vertex_Random,83,-1886,25547,25547,outputs\runs\ls_steepest_vertex_random\TSPA\run_083.txt,51,-19806,42232,42232,outputs\runs\ls_steepest_vertex_random\TSPA\run_051.txt
TSPA,RandomWalk,2,-113304,130408,130408,outputs\runs\random_walk\TSPA\run_002.txt,3,-138616,155629,155629,outputs\runs\random_walk\TSPA\run_003.txt
TSPB,LS_Greedy_Edge_Heuristic,14,19455,25370,25370,outputs\runs\ls_greedy_edge_heuristic\TSPB\run_014.txt,39,17476,28490,28490,outputs\runs\ls_greedy_edge_heuristic\TSPB\run_039.txt
TSPB,LS_Greedy_Edge_Random,39,14365,17664,17664,outputs\runs\ls_greedy_edge_random\TSPB\run_039.txt,49,10085,22175,22175,outputs\runs\ls_greedy_edge_random\TSPB\run_049.txt
TSPB,LS_Greedy_Vertex_Heuristic,3,19331,25499,25499,outputs\runs\ls_greedy_vertex_heuristic\TSPB\run_003.txt,30,16863,28871,28871,outputs\runs\ls_greedy_vertex_heuristic\TSPB\run_030.txt
TSPB,LS_Greedy_Vertex_Random,23,7756,24702,24702,outputs\runs\ls_greedy_vertex_random\TSPB\run_023.txt,40,-2717,34845,34845,outputs\runs\ls_greedy_vertex_random\TSPB\run_040.txt
TSPB,LS_Steepest_Edge_Heuristic,9,19410,25201,25201,outputs\runs\ls_steepest_edge_heuristic\TSPB\run_009.txt,12,17278,28456,28456,outputs\runs\ls_steepest_edge_heuristic\TSPB\run_012.txt
TSPB,LS_Steepest_Edge_Random,99,14169,19230,19230,outputs\runs\ls_steepest_edge_random\TSPB\run_099.txt,87,11265,20116,20116,outputs\runs\ls_steepest_edge_random\TSPB\run_087.txt
TSPB,LS_Steepest_Vertex_Heuristic,64,19560,24974,24974,outputs\runs\ls_steepest_vertex_heuristic\TSPB\run_064.txt,100,16863,28871,28871,outputs\runs\ls_steepest_vertex_heuristic\TSPB\run_100.txt
TSPB,LS_Steepest_Vertex_Random,30,5415,26834,26834,outputs\runs\ls_steepest_vertex_random\TSPB\run_030.txt,53,-7702,40921,40921,outputs\runs\ls_steepest_vertex_random\TSPB\run_053.txt
TSPB,RandomWalk,100,-108319,131425,131425,outputs\runs\random_walk\TSPB\run_100.txt,98,-128252,153214,153214,outputs\runs\random_walk\TSPB\run_098.txt
